month,group,district,count
2012-02,ARREST,U,16
2012-04,SHOPLIFTING,O,14
2011-12,OTHER PROPERTY,G,17
2013-04,MISCELLANEOUS MISDEMEANORS,NULL,1
2011-07,CAR PROWL,B,61
2011-05,PROWLER,M,1
2011-04,"THREATS, HARASSMENT",E,12
2012-08,"PROPERTY - MISSING, FOUND",L,14
2011-10,LIQUOR VIOLATIONS,O,158
2013-03,DISTURBANCES,S,140
2011-08,"PERSONS - LOST, FOUND, MISSING",F,17
2011-09,CAR PROWL,L,40
2012-11,FALSE ALARMS,C,74
2013-01,MISCELLANEOUS MISDEMEANORS,E,4
2011-02,AUTO THEFTS,Q,14
2011-12,TRAFFIC RELATED CALLS,C,244
2011-02,OTHER PROPERTY,B,26
2011-06,"PERSONS - LOST, FOUND, MISSING",S,17
2013-02,BURGLARY,Q,51
2011-12,TRESPASS,B,7
2012-05,SHOPLIFTING,G,34
2013-05,PROSTITUTION,N,44
2011-10,"PROPERTY - MISSING, FOUND",D,11
2011-11,PERSON DOWN/INJURY,N,8
2012-02,NARCOTICS COMPLAINTS,F,14
2011-09,FRAUD CALLS,N,14
2012-11,BIKE,J,4
2012-01,SHOPLIFTING,S,3
2012-11,LEWD CONDUCT,U,3
2011-09,PERSON DOWN/INJURY,R,6
2012-01,"THREATS, HARASSMENT",R,7
2013-05,LIQUOR VIOLATIONS,C,51
2012-01,"PROPERTY - MISSING, FOUND",W,2
2011-10,"THREATS, HARASSMENT",C,8
2012-11,DISTURBANCES,Q,106
2011-07,LIQUOR VIOLATIONS,N,10
2012-01,PERSON DOWN/INJURY,S,6
2012-11,CAR PROWL,M,45
2012-03,PROPERTY DAMAGE,E,30
2013-11,ANIMAL COMPLAINTS,J,5
2011-05,TRAFFIC RELATED CALLS,Q,258
2013-12,SHOPLIFTING,W,18
2012-11,SHOPLIFTING,F,20
2013-07,SUSPICIOUS CIRCUMSTANCES,B,274
2013-12,NARCOTICS COMPLAINTS,F,5
2011-08,"NUISANCE, MISCHIEF",C,21
2013-10,TRAFFIC RELATED CALLS,C,351
2011-02,OTHER PROPERTY,G,27
2012-08,HARBOR CALLS,Q,2
2012-02,FALSE ALARMS,Q,55
2013-10,SUSPICIOUS CIRCUMSTANCES,D,181
2012-04,OTHER PROPERTY,O,45
2011-10,PROWLER,Q,3
2013-11,SHOPLIFTING,N,68
2013-03,ARREST,99,9
2011-03,AUTO THEFTS,W,16
2012-10,DRIVE BY (NO INJURY),C,1
2012-12,FRAUD CALLS,Q,12
2012-03,ASSAULTS,D,24
2013-03,HAZARDS,D,22
2013-12,BIKE,N,7
2013-05,FRAUD CALLS,NULL,14
2013-08,"PERSONS - LOST, FOUND, MISSING",W,9
2012-04,HAZARDS,L,7
2011-09,FALSE ALARMS,E,21
2012-01,SHOPLIFTING,O,26
2011-11,FRAUD CALLS,C,11
2013-01,PROWLER,F,4
2013-12,CAR PROWL,K,70
2012-12,MENTAL HEALTH,F,33
2012-05,PROPERTY DAMAGE,N,23
2012-01,PROSTITUTION,F,1
2011-04,FRAUD CALLS,Q,12
2011-01,TRESPASS,C,32
2013-01,WEAPONS CALLS,J,1
2012-01,LEWD CONDUCT,O,2
2012-05,PROSTITUTION,N,64
2012-02,FAILURE TO REGISTER (SEX OFFENDER),F,1
2013-06,WEAPONS CALLS,N,1
2012-07,MISCELLANEOUS MISDEMEANORS,D,11
2012-12,"NUISANCE, MISCHIEF",W,28
2013-11,LEWD CONDUCT,E,2
2013-03,MISCELLANEOUS MISDEMEANORS,R,2
2013-09,MISCELLANEOUS MISDEMEANORS,S,2
2011-08,ARREST,R,18
2012-12,LEWD CONDUCT,U,3
2013-05,ROBBERY,G,12
2013-09,PERSON DOWN/INJURY,K,24
2013-01,ASSAULTS,K,53
2012-03,PROWLER,R,2
2011-09,PERSON DOWN/INJURY,U,5
2012-05,HARBOR CALLS,B,4
2013-07,"PERSONS - LOST, FOUND, MISSING",Q,6
2013-05,OTHER PROPERTY,E,45
2011-09,OTHER PROPERTY,S,38
2011-04,WEAPONS CALLS,S,4
2011-10,PERSON DOWN/INJURY,N,13
2011-04,PROPERTY DAMAGE,N,21
2011-11,DISTURBANCES,B,87
2013-05,SHOPLIFTING,U,47
2013-05,TRESPASS,W,19
2011-12,BIKE,J,5
2013-11,MISCELLANEOUS MISDEMEANORS,J,2
2012-08,WEAPONS CALLS,Q,3
2013-06,LEWD CONDUCT,M,15
2012-01,ACCIDENT INVESTIGATION,U,80
2012-08,TRAFFIC RELATED CALLS,F,96
2013-12,TRAFFIC RELATED CALLS,F,116
2013-07,FALSE ALARMS,K,29
2011-04,SUSPICIOUS CIRCUMSTANCES,L,187
2013-03,ROBBERY,L,6
2012-02,CAR PROWL,D,74
2013-02,MISCELLANEOUS MISDEMEANORS,F,1
2013-05,TRAFFIC RELATED CALLS,W,282
2012-02,MENTAL HEALTH,J,31
2012-05,AUTO THEFTS,U,41
2013-02,HAZARDS,B,7
2011-04,"NUISANCE, MISCHIEF",R,5
2012-03,"THREATS, HARASSMENT",R,9
2011-04,SHOPLIFTING,C,10
2013-12,BURGLARY,M,15
2012-08,PERSON DOWN/INJURY,Q,18
2012-03,OTHER PROPERTY,G,29
2012-04,HARBOR CALLS,M,2
2013-04,"THREATS, HARASSMENT",K,24
2012-10,DISTURBANCES,U,270
2013-12,WEAPONS CALLS,K,3
2012-04,PERSON DOWN/INJURY,O,5
2012-10,"NUISANCE, MISCHIEF",G,11
2012-06,ROBBERY,J,1
2011-04,TRAFFIC RELATED CALLS,J,393
2012-02,ASSAULTS,R,12
2012-12,WEAPONS CALLS,J,2
2011-12,LIQUOR VIOLATIONS,L,15
2012-08,PROWLER,S,2
2013-08,TRAFFIC RELATED CALLS,E,247
2013-06,OTHER VICE,O,2
2013-12,BIKE,O,1
2012-02,PROWLER,B,1
2013-05,DISTURBANCES,J,161
2012-06,LIQUOR VIOLATIONS,S,19
2012-03,TRESPASS,G,28
2012-12,"PROPERTY - MISSING, FOUND",Q,10
2013-03,ARREST,F,34
2013-01,SHOPLIFTING,R,6
2011-01,MISCELLANEOUS MISDEMEANORS,N,2
2013-10,CAR PROWL,G,56
2011-08,MENTAL HEALTH,D,49
2012-07,TRAFFIC RELATED CALLS,O,185
2012-10,PROPERTY DAMAGE,B,30
2011-07,CAR PROWL,W,39
2013-10,FALSE ALARMS,R,69
2013-10,BIKE,K,8
2011-03,LIQUOR VIOLATIONS,O,196
2013-04,PROSTITUTION,N,28
2011-03,MENTAL HEALTH,F,34
2013-05,MENTAL HEALTH,M,42
2011-09,PERSON DOWN/INJURY,Q,15
2013-01,OTHER PROPERTY,D,57
2012-03,TRESPASS,O,19
2011-02,LIQUOR VIOLATIONS,M,190
2013-11,HAZARDS,C,17
2012-07,TRESPASS,O,16
2013-12,"NUISANCE, MISCHIEF",C,19
2012-10,PROPERTY DAMAGE,U,36
2011-01,OTHER PROPERTY,B,45
2012-04,HAZARDS,K,8
2012-10,PROWLER,W,1
2013-01,CAR PROWL,U,27
2012-06,CAR PROWL,O,21
2012-10,LEWD CONDUCT,C,2
2012-10,SUSPICIOUS CIRCUMSTANCES,K,206
2012-08,"NUISANCE, MISCHIEF",NULL,9
2011-07,ACCIDENT INVESTIGATION,F,61
2013-10,MISCELLANEOUS MISDEMEANORS,N,13
2012-09,DRIVE BY (NO INJURY),S,3
2013-07,CAR PROWL,N,50
2013-04,TRAFFIC RELATED CALLS,N,160
2013-12,FALSE ALARMS,W,89
2012-07,PROPERTY DAMAGE,L,23
2012-03,DISTURBANCES,G,107
2013-02,SUSPICIOUS CIRCUMSTANCES,J,241
2011-01,"PROPERTY - MISSING, FOUND",L,8
2013-09,FRAUD CALLS,G,10
2013-06,SUSPICIOUS CIRCUMSTANCES,U,218
2011-02,"NUISANCE, MISCHIEF",L,10
2013-11,"PERSONS - LOST, FOUND, MISSING",C,5
2011-06,MISCELLANEOUS MISDEMEANORS,C,4
2013-05,DISTURBANCES,C,191
2011-09,PROSTITUTION,G,5
2011-10,OTHER VICE,U,4
2013-06,FALSE ALARMS,K,34
2013-12,SHOPLIFTING,B,25
2011-10,AUTO THEFTS,S,37
2011-05,FRAUD CALLS,G,10
2013-01,ASSAULTS,L,15
2013-01,WEAPONS CALLS,B,1
2013-03,DRIVE BY (NO INJURY),D,1
2012-10,CAR PROWL,K,46
2011-08,ARREST,G,15
2011-01,"PROPERTY - MISSING, FOUND",U,11
2011-08,SHOPLIFTING,N,53
2011-04,"NUISANCE, MISCHIEF",K,81
2011-12,TRESPASS,D,48
2013-03,"PROPERTY - MISSING, FOUND",NULL,8
2012-07,"THREATS, HARASSMENT",J,18
2013-07,RECKLESS BURNING,M,1
2012-05,FALSE ALARMS,B,40
2012-03,"PERSONS - LOST, FOUND, MISSING",K,2
2011-02,PROWLER,K,1
2012-03,"THREATS, HARASSMENT",Q,8
2012-06,TRESPASS,U,25
2011-12,PROWLER,E,1
2012-03,HAZARDS,W,12
2011-08,ACCIDENT INVESTIGATION,N,81
2013-01,"NUISANCE, MISCHIEF",E,17
2012-04,FRAUD CALLS,R,19
2013-01,NARCOTICS COMPLAINTS,E,28
2011-06,"NUISANCE, MISCHIEF",E,20
2012-12,"PERSONS - LOST, FOUND, MISSING",Q,5
2012-03,ASSAULTS,J,18
2013-10,NARCOTICS COMPLAINTS,R,11
2013-12,BIKE,L,3
2011-05,ASSAULTS,L,31
2013-03,ASSAULTS,U,22
2011-05,PROWLER,B,4
2012-02,ANIMAL COMPLAINTS,O,1
2011-05,FALSE ALARMS,M,38
2013-07,MENTAL HEALTH,J,33
2012-05,TRESPASS,L,10
2011-09,AUTO THEFTS,J,42
2012-09,ASSAULTS,L,14
2012-12,ASSAULTS,K,51
2013-03,TRAFFIC RELATED CALLS,W,189
2011-07,LEWD CONDUCT,B,2
2013-02,WEAPONS CALLS,D,2
2013-03,DISTURBANCES,E,215
2013-04,PROSTITUTION,O,1
2012-01,OTHER PROPERTY,S,26
2013-04,PERSON DOWN/INJURY,R,6
2011-10,BIKE,N,4
2013-10,FALSE ALARMS,Q,58
2011-01,DISTURBANCES,NULL,1
2012-12,"THREATS, HARASSMENT",K,16
2013-05,TRAFFIC RELATED CALLS,M,184
2012-01,TRAFFIC RELATED CALLS,W,195
2012-04,DRIVE BY (NO INJURY),F,1
2013-06,LIQUOR VIOLATIONS,K,427
2011-05,"PROPERTY - MISSING, FOUND",W,8
2012-10,ARREST,W,8
2013-02,MENTAL HEALTH,S,31
2013-12,BURGLARY,C,40
2013-04,TRESPASS,S,16
2011-11,WEAPONS CALLS,L,2
2012-01,ARREST,G,17
2011-03,ASSAULTS,F,17
2013-11,FALSE ALARMS,Q,58
2013-11,HAZARDS,M,29
2012-04,ASSAULTS,G,15
2011-09,TRESPASS,S,6
2011-12,TRAFFIC RELATED CALLS,L,174
2012-12,OTHER VICE,F,1
2012-05,AUTO THEFTS,W,29
2011-03,MENTAL HEALTH,R,24
2012-02,BURGLARY,B,31
2013-03,BIKE,R,4
2011-11,ARREST,U,15
2012-02,MISCELLANEOUS MISDEMEANORS,G,4
2011-10,HAZARDS,N,20
2011-10,NARCOTICS COMPLAINTS,S,10
2013-12,TRAFFIC RELATED CALLS,Q,202
2013-11,NARCOTICS COMPLAINTS,D,19
2013-03,ROBBERY,R,11
2011-04,AUTO THEFTS,J,34
2011-11,OTHER PROPERTY,L,17
2011-06,WEAPONS CALLS,U,5
2012-12,PROPERTY DAMAGE,S,24
2012-05,OTHER VICE,W,1
2013-11,ARREST,F,8
2011-01,OTHER PROPERTY,G,20
2011-02,NARCOTICS COMPLAINTS,B,6
2011-12,HAZARDS,C,4
2011-09,SHOPLIFTING,O,13
2011-06,ANIMAL COMPLAINTS,R,3
2013-08,LEWD CONDUCT,J,6
2011-01,PROWLER,B,3
2011-12,BIKE,G,1
2011-10,FALSE ALARMS,C,81
2013-10,SUSPICIOUS CIRCUMSTANCES,NULL,2
2011-05,HARBOR CALLS,J,4
2011-11,"NUISANCE, MISCHIEF",J,13
2011-06,PROSTITUTION,S,1
2013-05,HOMICIDE,R,2
2013-06,PERSON DOWN/INJURY,N,11
2011-10,TRESPASS,D,49
2012-11,BIKE,G,5
2011-02,WEAPONS CALLS,NULL,1
2013-02,ARREST,99,14
2011-03,ASSAULTS,L,11
2012-04,AUTO THEFTS,O,39
2011-09,PERSON DOWN/INJURY,C,12
2013-12,DISTURBANCES,G,99
2013-08,BIKE,Q,9
2012-09,FRAUD CALLS,W,26
2013-05,ACCIDENT INVESTIGATION,F,88
2011-08,FRAUD CALLS,Q,25
2012-06,SHOPLIFTING,K,95
2011-11,TRAFFIC RELATED CALLS,O,314
2013-06,PROWLER,N,2
2012-01,CAR PROWL,B,38
2013-04,LEWD CONDUCT,S,2
2011-07,TRESPASS,D,53
2011-06,HAZARDS,U,14
2011-02,PROWLER,D,3
2012-02,PERSON DOWN/INJURY,F,9
2011-11,NARCOTICS COMPLAINTS,O,21
2011-01,SUSPICIOUS CIRCUMSTANCES,F,143
2012-05,FRAUD CALLS,B,13
2013-03,CAR PROWL,NULL,1
2012-06,HAZARDS,B,10
2012-06,WEAPONS CALLS,S,5
2011-07,SUSPICIOUS CIRCUMSTANCES,L,222
2012-06,BURGLARY,C,52
2013-12,"PERSONS - LOST, FOUND, MISSING",B,4
2011-06,SUSPICIOUS CIRCUMSTANCES,W,202
2011-10,ASSAULTS,K,73
2011-09,TRAFFIC RELATED CALLS,F,145
2011-01,OTHER PROPERTY,J,34
2011-12,AUTO THEFTS,W,27
2013-10,PROPERTY DAMAGE,N,28
2012-06,ROBBERY,NULL,1
2012-06,WEAPONS CALLS,W,3
2011-10,LEWD CONDUCT,M,4
2011-01,WEAPONS CALLS,B,1
2011-08,NARCOTICS COMPLAINTS,O,16
2011-07,NARCOTICS COMPLAINTS,E,40
2013-02,ROBBERY,B,8
2012-08,TRESPASS,Q,18
2012-08,LEWD CONDUCT,K,2
2013-04,FALSE ALARMS,S,48
2011-08,TRAFFIC RELATED CALLS,F,162
2013-01,SUSPICIOUS CIRCUMSTANCES,J,242
2013-11,AUTO THEFTS,U,56
2012-03,HAZARDS,S,1
2013-01,"PERSONS - LOST, FOUND, MISSING",Q,2
2011-02,BIKE,J,3
2011-02,PERSON DOWN/INJURY,J,10
2013-05,LIQUOR VIOLATIONS,O,105
2012-01,"PROPERTY - MISSING, FOUND",K,20
2011-08,TRESPASS,R,18
2013-05,HOMICIDE,M,1
2013-09,ARREST,Q,6
2012-02,FRAUD CALLS,M,14
2013-11,DRIVE BY (NO INJURY),G,1
2013-05,ANIMAL COMPLAINTS,O,8
2013-06,SUSPICIOUS CIRCUMSTANCES,S,197
2012-09,ACCIDENT INVESTIGATION,B,75
2013-06,ACCIDENT INVESTIGATION,S,77
2012-08,LIQUOR VIOLATIONS,K,352
2012-07,FRAUD CALLS,L,22
2013-03,CAR PROWL,G,18
2011-12,CAR PROWL,L,29
2011-08,PROSTITUTION,O,6
2011-02,"PROPERTY - MISSING, FOUND",U,15
2012-07,BURGLARY,C,54
2012-11,MISCELLANEOUS MISDEMEANORS,E,4
2011-09,ANIMAL COMPLAINTS,D,4
2012-11,HARBOR CALLS,W,2
2011-12,ROBBERY,Q,1
2013-10,NARCOTICS COMPLAINTS,NULL,1
2013-09,PERSON DOWN/INJURY,G,3
2013-12,OTHER PROPERTY,Q,26
2013-02,ARREST,W,11
2013-11,HAZARDS,W,27
2012-03,"NUISANCE, MISCHIEF",Q,22
2011-08,SUSPICIOUS CIRCUMSTANCES,W,227
2011-04,MISCELLANEOUS MISDEMEANORS,L,7
2013-03,RECKLESS BURNING,U,2
2011-04,LEWD CONDUCT,U,6
2012-11,HAZARDS,G,9
2013-06,LIQUOR VIOLATIONS,E,86
2011-11,ASSAULTS,J,16
2013-07,BURGLARY,Q,29
2013-03,LEWD CONDUCT,F,1
2012-07,LEWD CONDUCT,L,1
2012-05,ASSAULTS,R,11
2013-10,FALSE ALARMS,W,67
2013-12,SUSPICIOUS CIRCUMSTANCES,N,204
2013-08,MISCELLANEOUS MISDEMEANORS,F,2
2013-09,FRAUD CALLS,O,12
2011-09,HARBOR CALLS,J,3
2012-01,ASSAULTS,W,9
2013-07,"THREATS, HARASSMENT",S,19
2011-02,DISTURBANCES,F,99
2011-11,DISTURBANCES,S,92
2013-02,"THREATS, HARASSMENT",O,8
2011-07,ACCIDENT INVESTIGATION,K,99
2013-11,NARCOTICS COMPLAINTS,S,17
2013-12,LEWD CONDUCT,B,1
2013-02,"NUISANCE, MISCHIEF",D,42
2011-08,AUTO THEFTS,99,1
2012-06,AUTO THEFTS,M,14
2012-02,TRESPASS,C,25
2013-03,NARCOTICS COMPLAINTS,B,13
2012-10,"PERSONS - LOST, FOUND, MISSING",F,7
2013-08,PROPERTY DAMAGE,L,18
2013-08,NARCOTICS COMPLAINTS,J,14
2011-02,PERSON DOWN/INJURY,M,24
2012-03,SUSPICIOUS CIRCUMSTANCES,F,181
2011-09,FALSE ALARMS,J,58
2013-07,"NUISANCE, MISCHIEF",L,29
2012-03,FALSE ALARMS,B,42
2013-04,"NUISANCE, MISCHIEF",J,26
2013-06,VICE CALLS,F,1
2013-01,ROBBERY,B,4
2011-03,ANIMAL COMPLAINTS,W,2
2013-06,MENTAL HEALTH,B,16
2013-08,"PROPERTY - MISSING, FOUND",L,13
2011-06,PROWLER,C,1
2011-04,PROSTITUTION,F,4
2013-05,FRAUD CALLS,B,17
2011-06,"NUISANCE, MISCHIEF",G,17
2011-02,DISTURBANCES,Q,74
2011-06,LEWD CONDUCT,W,3
2011-08,LIQUOR VIOLATIONS,D,122
2013-05,ANIMAL COMPLAINTS,L,2
2011-09,WEAPONS CALLS,D,3
2013-05,TRAFFIC RELATED CALLS,D,222
2012-11,PERSON DOWN/INJURY,J,11
2011-01,"THREATS, HARASSMENT",U,17
2011-04,"THREATS, HARASSMENT",N,17
2011-12,PERSON DOWN/INJURY,B,7
2013-05,MISCELLANEOUS MISDEMEANORS,E,2
2013-04,"THREATS, HARASSMENT",E,15
2013-11,ANIMAL COMPLAINTS,S,2
2012-02,LEWD CONDUCT,G,2
2012-01,LIQUOR VIOLATIONS,J,17
2012-01,MISCELLANEOUS MISDEMEANORS,U,23
2011-01,PROSTITUTION,K,6
2012-06,DISTURBANCES,U,293
2013-02,LIQUOR VIOLATIONS,F,12
2013-11,"PROPERTY - MISSING, FOUND",K,19
2012-12,CAR PROWL,J,74
2012-03,HARBOR CALLS,W,1
2011-05,BURGLARY,D,27
2013-12,ANIMAL COMPLAINTS,J,6
2011-09,DRIVE BY (NO INJURY),R,3
2011-10,"NUISANCE, MISCHIEF",O,44
2011-07,MENTAL HEALTH,G,19
2012-09,TRAFFIC RELATED CALLS,G,254
2012-03,ASSAULTS,O,21
2013-10,ACCIDENT INVESTIGATION,D,4
2012-07,SHOPLIFTING,S,91
2012-09,TRAFFIC RELATED CALLS,N,179
2012-09,HOMICIDE,N,1
2013-04,FALSE ALARMS,N,24
2011-05,MISCELLANEOUS MISDEMEANORS,K,20
2013-10,BIKE,W,3
2011-12,PROPERTY DAMAGE,S,13
2012-05,PROPERTY DAMAGE,E,32
2011-10,OTHER PROPERTY,S,20
2013-10,"NUISANCE, MISCHIEF",U,35
2011-01,OTHER VICE,G,1
2011-05,"PROPERTY - MISSING, FOUND",K,25
2011-08,"NUISANCE, MISCHIEF",B,33
2013-03,"THREATS, HARASSMENT",R,15
2011-03,DISTURBANCES,N,149
2011-11,"THREATS, HARASSMENT",N,22
2013-09,LEWD CONDUCT,O,3
2013-07,BURGLARY,R,48
2011-11,MENTAL HEALTH,F,29
2012-04,OTHER VICE,Q,1
2011-05,LEWD CONDUCT,J,5
2012-05,"PERSONS - LOST, FOUND, MISSING",R,8
2013-01,WEAPONS CALLS,U,2
2012-04,MISCELLANEOUS MISDEMEANORS,M,8
2012-09,ACCIDENT INVESTIGATION,L,66
2013-12,SHOPLIFTING,U,44
2011-11,"NUISANCE, MISCHIEF",S,6
2013-12,ACCIDENT INVESTIGATION,W,2
2013-10,CAR PROWL,C,62
2011-01,SHOPLIFTING,G,42
2012-12,ANIMAL COMPLAINTS,W,6
2011-10,MENTAL HEALTH,D,44
2013-10,"PERSONS - LOST, FOUND, MISSING",F,4
2012-08,ANIMAL COMPLAINTS,N,1
2012-01,ARREST,B,9
2012-07,LIQUOR VIOLATIONS,NULL,6
2013-02,OTHER PROPERTY,G,36
2011-12,TRESPASS,L,23
2012-07,OTHER PROPERTY,K,66
2013-02,BURGLARY,W,59
2012-07,FALSE ALARMS,C,81
2013-04,ACCIDENT INVESTIGATION,L,74
2011-06,MENTAL HEALTH,N,54
2012-08,TRESPASS,N,17
2011-11,TRAFFIC RELATED CALLS,U,214
2013-02,ARREST,M,59
2012-02,TRESPASS,U,24
2011-06,CAR PROWL,G,45
2013-02,PERSON DOWN/INJURY,B,14
2012-11,PROPERTY DAMAGE,99,1
2013-07,DISTURBANCES,O,146
2013-03,HOMICIDE,S,1
2011-03,OTHER PROPERTY,G,36
2012-12,OTHER PROPERTY,B,35
2012-07,SUSPICIOUS CIRCUMSTANCES,F,223
2012-10,CAR PROWL,W,46
2013-06,PROWLER,E,1
2013-01,ANIMAL COMPLAINTS,N,1
2013-02,SHOPLIFTING,Q,33
2011-06,LEWD CONDUCT,L,1
2011-11,FRAUD CALLS,B,11
2012-03,TRESPASS,S,12
2012-05,MISCELLANEOUS MISDEMEANORS,D,6
2013-08,WEAPONS CALLS,U,3
2013-05,HAZARDS,J,37
2013-10,OTHER PROPERTY,D,54
2011-08,ARREST,F,14
2013-10,"NUISANCE, MISCHIEF",N,22
2012-05,DISTURBANCES,S,170
2012-06,RECKLESS BURNING,W,1
2013-06,LIQUOR VIOLATIONS,G,15
2012-08,ROBBERY,NULL,1
2011-07,"THREATS, HARASSMENT",F,19
2012-05,LEWD CONDUCT,D,2
2011-08,BURGLARY,S,42
2011-07,ANIMAL COMPLAINTS,J,11
2011-09,HOMICIDE,U,1
2013-12,MENTAL HEALTH,N,27
2013-04,OTHER VICE,M,1
2011-05,BIKE,K,3
2011-08,WEAPONS CALLS,M,10
2012-08,LIQUOR VIOLATIONS,M,316
2013-10,TRESPASS,F,10
2013-02,AUTO THEFTS,G,4
2012-08,OTHER PROPERTY,B,24
2011-08,SUSPICIOUS CIRCUMSTANCES,99,1
2011-06,OTHER VICE,E,1
2012-04,PERSON DOWN/INJURY,Q,7
2012-10,SHOPLIFTING,W,19
2012-07,PERSON DOWN/INJURY,E,11
2011-11,TRAFFIC RELATED CALLS,B,189
2013-02,TRAFFIC RELATED CALLS,M,179
2011-04,PROWLER,J,1
2012-03,CAR PROWL,C,24
2013-10,"NUISANCE, MISCHIEF",C,27
2013-05,ACCIDENT INVESTIGATION,K,104
2012-03,ARREST,F,15
2011-09,MENTAL HEALTH,G,27
2012-07,"THREATS, HARASSMENT",F,26
2012-04,HAZARDS,NULL,1
2011-05,AUTO THEFTS,R,60
2011-01,PROWLER,L,3
2013-03,PROSTITUTION,D,2
2011-11,TRAFFIC RELATED CALLS,M,252
2013-02,HAZARDS,U,7
2011-11,MENTAL HEALTH,W,27
2012-05,"THREATS, HARASSMENT",U,17
2012-02,PERSON DOWN/INJURY,R,5
2012-11,ROBBERY,S,12
2011-05,TRESPASS,J,27
2012-01,ARREST,C,10
2011-12,PROWLER,M,7
2013-05,MISCELLANEOUS MISDEMEANORS,O,2
2013-04,PROSTITUTION,R,1
2012-04,LIQUOR VIOLATIONS,K,468
2012-02,"PROPERTY - MISSING, FOUND",D,15
2013-11,HAZARDS,G,9
2011-06,AUTO THEFTS,N,39
2013-07,MENTAL HEALTH,F,19
2013-08,DISTURBANCES,G,209
2013-07,FRAUD CALLS,R,14
2011-07,WEAPONS CALLS,L,1
2012-03,SUSPICIOUS CIRCUMSTANCES,D,201
2012-01,ASSAULTS,L,12
2011-08,PROSTITUTION,B,1
2011-05,LIQUOR VIOLATIONS,D,156
2011-03,MENTAL HEALTH,NULL,1
2013-04,BIKE,U,8
2012-06,OTHER PROPERTY,U,31
2013-12,TRESPASS,E,55
2012-10,NARCOTICS COMPLAINTS,F,20
2012-07,NARCOTICS COMPLAINTS,U,31
2011-09,SUSPICIOUS CIRCUMSTANCES,W,228
2011-09,FALSE ALARMS,S,45
2012-08,TRESPASS,M,61
2013-11,LEWD CONDUCT,K,4
2011-02,PERSON DOWN/INJURY,U,10
2012-03,MISCELLANEOUS MISDEMEANORS,D,13
2013-02,FRAUD CALLS,NULL,8
2011-08,LIQUOR VIOLATIONS,M,220
2013-05,TRAFFIC RELATED CALLS,J,337
2013-08,HOMICIDE,B,1
2012-12,ACCIDENT INVESTIGATION,F,78
2012-02,SUSPICIOUS CIRCUMSTANCES,R,535
2013-08,WEAPONS CALLS,L,3
2012-03,ROBBERY,B,3
2011-02,BURGLARY,K,9
2013-06,"THREATS, HARASSMENT",B,13
2012-09,HAZARDS,M,10
2012-08,NARCOTICS COMPLAINTS,M,126
2011-10,FALSE ALARMS,O,41
2012-06,AUTO THEFTS,K,8
2013-07,LIQUOR VIOLATIONS,C,54
2013-12,OTHER PROPERTY,N,54
2012-11,PROPERTY DAMAGE,W,34
